seg_id,s,x,y,z,curvature,max_WSS,argmax_surface_pt_id
1,1.5843195232889637,-0.5543109774589539,28.675399780273438,-11.685999870300293,0.03464199975132942,0.016166711926579563,1548
2,3.168710662564373,-0.9836580157279968,27.66659927368164,-10.542200088500977,0.03144250065088272,0.018016501182873918,24985
3,4.753034499026787,-1.4129999876022339,26.657800674438477,-9.398489952087402,0.026064399629831314,0.01858681727884914,24518
4,6.337447441103569,-1.8423500061035156,25.64889907836914,-8.25475025177002,0.016603300347924232,0.019182930157036693,18582
5,7.92179511213241,-2.271699905395508,24.640100479125977,-7.1110100746154785,0.012541200034320354,0.020324385148019774,18475
6,9.506141348636776,-2.701040029525757,23.63129997253418,-5.9672698974609375,0.03957260027527809,0.02641992635639525,18507
7,11.090553043874118,-3.130389928817749,22.622400283813477,-4.823530197143555,0.08670110255479813,0.038613963640371375,8259
8,12.674901993976164,-3.5597400665283203,21.61359977722168,-3.6797900199890137,0.15577299892902374,0.03974958795460513,5641
9,14.248934829828018,-4.015379905700684,20.44770050048828,-2.7255098819732666,0.23807400465011597,0.038945913511563464,5761
10,15.798354358447048,-4.528629779815674,19.00909996032715,-2.4653100967407227,0.2855130136013031,0.0295159637767997,17268
11,17.366028294722394,-5.021910190582275,17.713899612426758,-3.197930097579956,0.2532210052013397,0.025044951873501878,25078
12,18.94764237108309,-5.456009864807129,16.691699981689453,-4.324059963226318,0.18151800334453583,0.02770345698805788,5675
13,20.531621813904458,-5.846590042114258,15.81029987335205,-5.580870151519775,0.11253199726343155,0.027211505720377803,8316
14,22.11578376036005,-6.183410167694092,14.996600151062012,-6.8976898193359375,0.08202960342168808,0.02475996557366936,5732
15,23.69940143906601,-6.415060043334961,14.218299865722656,-8.2572603225708,0.07077600061893463,0.022278532629801236,16196
16,25.281863461741466,-6.456210136413574,13.458399772644043,-9.644720077514648,0.06950099766254425,0.02081521029129978,25927
17,26.86362865719518,-6.239809989929199,12.71049976348877,-11.021599769592285,0.07377039641141891,0.023991709483160276,16566
18,28.446355826324744,-5.788169860839844,11.958499908447266,-12.33899974822998,0.0883454978466034,0.026750084268564428,24760
19,30.029911504013736,-5.2134199142456055,11.1451997756958,-13.570199966430664,0.12415000051259995,0.029458820856090886,18152
20,31.612006774995464,-4.654049873352051,10.173600196838379,-14.68649959564209,0.1992969959974289,0.037027320728748196,8639
21,33.18816990543445,-4.241640090942383,8.933420181274414,-15.567500114440918,0.3532220125198364,0.04684813907875487,15126
22,34.74023770973178,-4.119359970092773,7.4037299156188965,-15.79990005493164,0.626990020275116,0.0466297320961465,15122
23,36.27032947793562,-4.345940113067627,6.198939800262451,-14.884300231933594,0.7543550133705139,0.03641879694790642,26289
24,37.83144412579459,-4.763060092926025,5.846129894256592,-13.421899795532227,0.4711439907550812,0.027607734371190587,22984
25,39.40327422470731,-5.283170223236084,6.191569805145264,-11.979399681091309,0.1905670017004013,0.029057009822862648,6001
26,40.98303555103155,-5.81781005859375,6.98052978515625,-10.719499588012695,0.06878790259361267,0.029951241413871274,8582
27,42.56694818110349,-6.28918981552124,7.943689823150635,-9.553779602050781,0.028691500425338745,0.032798770962707495,15878
28,44.14918759111124,-6.663449764251709,8.840760231018066,-8.305310249328613,0.1270029991865158,0.039758538870607416,26151
29,45.723941357571796,-6.934609889984131,9.381239891052246,-6.851280212402344,0.27715998888015747,0.04388360037726755,26205
30,47.28887483332497,-7.1325201988220215,9.226829528808594,-5.306610107421875,0.4395020008087158,0.04289807427620341,15401
31,48.852023117126656,-7.290979862213135,8.341440200805664,-4.028170108795166,0.4084109961986542,0.034188041014447036,14580
32,50.419288216297495,-7.348800182342529,6.943729877471924,-3.321500062942505,0.2427159994840622,0.029234142687172466,26595
33,51.996647249607015,-7.216909885406494,5.378089904785156,-3.182080030441284,0.11918599903583527,0.027000999163114096,14691
34,53.57995749150707,-6.907479763031006,3.8281400203704834,-3.275779962539673,0.04648130014538765,0.020611123226632024,1419
35,55.16095453223239,-6.489779949188232,2.3043999671936035,-3.2183799743652344,0.010151900351047516,0.025160904367320533,26949
36,56.74131400942101,-6.082210063934326,0.8459540009498596,-2.766319990158081,0.023051900789141655,0.02546060557498943,26947
37,58.32544654790543,-5.748610019683838,-0.5632089972496033,-2.1240999698638916,0.03246359899640083,0.02639160731953417,21149
38,59.90825709601337,-5.450039863586426,-2.0174400806427,-1.5751399993896484,0.04467099905014038,0.03453546398432336,12199
39,61.49108840292698,-5.127379894256592,-3.5274100303649902,-1.2269500494003296,0.06865759938955307,0.036585117128024695,12164
40,63.07469116717266,-4.714200019836426,-5.036990165710449,-0.9856039881706238,0.10354000329971313,0.03581211668378699,9235
41,64.6537554109784,-4.11667013168335,-6.452770233154297,-0.6223289966583252,0.13615000247955322,0.033085690684914786,28453
42,66.22156817120472,-3.255460023880005,-7.5223798751831055,0.13416899740695953,0.1481730043888092,0.028177409429549237,3775
43,67.79894356522271,-2.2462499141693115,-8.076809883117676,1.2122299671173096,0.13310599327087402,0.018962048216337974,3552
44,69.38231523481221,-1.1757500171661377,-8.358710289001465,2.344320058822632,0.10325100272893906,0.022142770893783286,13842
45,70.96565618844119,-0.009670039638876915,-8.585320472717285,3.391160011291504,0.07289960235357285,0.02576200185493164,13839
46,72.5488751513546,1.277999997138977,-8.811949729919434,4.283979892730713,0.04759350046515465,0.026689248961118944,10110
47,74.1325796859484,2.6472198963165283,-8.954039573669434,5.06702995300293,0.0286312997341156,0.026403493810604934,10024
