Re,seg_id,s,x,y,z,curvature,max_WSS,argmax_surface_pt_id
200,1,0.8309787739111589,3.477289915084839,27.781099319458008,-7.723720073699951,0.0012805899605154991,0.00876028634619751,7253
200,2,1.6619504762295518,2.8904600143432617,27.23539924621582,-7.503819942474365,0.0012567699886858463,0.008804396959104867,6941
200,3,2.492922178547945,2.3036301136016846,26.689699172973633,-7.283919811248779,0.001249730004929006,0.00876260615605986,22730
200,4,3.3239009946468556,1.716789960861206,26.143999099731445,-7.064020156860352,0.0017103699501603842,0.008673604597061027,10942
200,5,4.1548715285938504,1.1299599409103394,25.59830093383789,-6.844120025634766,0.0027363800909370184,0.008845149039455751,4658
200,6,4.985845377639368,0.5431270003318787,25.052600860595703,-6.62421989440918,0.005501859821379185,0.009318950666596852,3583
200,7,5.8168196213044485,-0.0437064990401268,24.506900787353516,-6.404319763183594,0.00809772964566946,0.010287082227411933,10517
200,8,6.647793749307766,-0.6305400133132935,23.961200714111328,-6.184420108795166,0.012861499562859535,0.011300328275990569,18207
200,9,7.478765535811432,-1.2173700332641602,23.41550064086914,-5.96451997756958,0.016343599185347557,0.011397508145945992,25821
200,10,8.309744309722591,-1.8042099475860596,22.869800567626953,-5.744619846343994,0.021264100447297096,0.011150086764360858,17093
200,11,9.140716054226221,-2.391040086746216,22.324100494384766,-5.524720191955566,0.02378839999437332,0.01079876916245744,2322
200,12,9.971687756544615,-2.977869987487793,21.778400421142578,-5.3048200607299805,0.025362400338053703,0.011392911985088619,17329
200,13,10.802666530455774,-3.5647099018096924,21.23270034790039,-5.0849199295043945,0.023097900673747063,0.01201111100818009,17341
200,14,11.633638232774167,-4.1515398025512695,20.687000274658203,-4.865019798278809,0.019136400893330574,0.012151296602310402,17192
200,15,12.464609977277798,-4.738369941711426,20.141300201416016,-4.645120143890381,0.012238400056958199,0.014668212828271491,5826
200,16,13.29453491349948,-5.30109977722168,19.587900161743164,-4.388490200042725,0.015929199755191803,0.01656955336098278,25903
200,17,14.124898770627226,-5.823090076446533,19.023500442504883,-4.07466983795166,0.03776710107922554,0.01885313814371149,18075
200,18,14.955722781214613,-6.313910007476807,18.45170021057129,-3.7248001098632812,0.05854419991374016,0.021085534007414742,17753
200,19,15.786646396178842,-6.785820007324219,17.873199462890625,-3.3600099086761475,0.09705039858818054,0.023345928167475254,8187
200,20,16.617554747283474,-7.253459930419922,17.28510093688965,-3.005239963531494,0.1266160011291504,0.024206720376113107,23089
200,21,17.448071390060825,-7.733419895172119,16.681800842285156,-2.6963300704956055,0.17256100475788116,0.023781195710789967,17722
200,22,18.276171709014545,-8.243490219116211,16.05500030517578,-2.515500068664551,0.1996150016784668,0.022887028993240785,31746
200,23,19.1015877026775,-8.767970085144043,15.419699668884277,-2.566740036010742,0.22437399625778198,0.020544950210457217,8205
