#t s x y z curvature torsion
5 0 63.9354597906434 92.5004546463476 3.07285329203172 0.247092008187248 0.0227796715316151
5.1 0.0690205365342226 63.9016888394051 92.5311759705817 3.12461773497512 0.247392982794569 0.0233171457184117
5.2 0.137752250386235 63.86762247804 92.5607644931344 3.17646415091224 0.247586946832628 0.023860023520026
5.3 0.206210237306809 63.833267767582 92.5892270564252 3.2283884451634 0.247674321060105 0.0244081167811481
5.4 0.274409332346249 63.7986317691689 92.61657050294 3.28038652311654 0.247655819045629 0.02496124283568
5.5 0.342364101073662 63.7637215441297 92.6428016752862 3.33245429028444 0.247532441659114 0.0255192257076132
5.6 0.41008883120727 63.7285441540729 92.6679274162498 3.38458765236181 0.247305469747998 0.0260818972460949
5.7 0.477597524681005 63.6931066609743 92.6919545688507 3.4367825152825 0.246976455097254 0.0266490981815344
5.8 0.544903890170589 63.6574161272646 92.7148899763988 3.4890347852766 0.246547209791797 0.0272206790930611
5.9 0.612021336098882 63.6214796159177 92.7367404825503 3.54134036892762 0.246019794116828 0.0277965012760043
6 0.678962964138413 63.5853041905382 92.7575129313634 3.59369517322964 0.245396503144498 0.0283764375050214
6.1 0.745741563226768 63.5488969154584 92.7772141673595 3.64609510565034 0.24467982251919 0.0289684346103554
6.2 0.812369604135563 63.5122648560664 92.7958510357164 3.69853607434747 0.243872323269503 0.0295809639889636
6.3 0.878859234628259 63.4754150797219 92.8134303827972 3.75101398877467 0.242976733751559 0.0302147025513802
6.4 0.945222275133574 63.4383546569034 92.8299590568111 3.80352476044074 0.241995953314879 0.0308703384642616
6.49999999999999 1.01147021490113 63.4010906623641 92.8454439084793 3.85606430367475 0.240933036079819 0.0315485714477248
6.59999999999999 1.07761420863973 63.3636301762884 92.8598917917012 3.90862853639121 0.239791174404564 0.0322501131123917
6.69999999999999 1.1436650736379 63.3259802854476 92.8733095642204 3.96121338085518 0.238573682198112 0.0329756873169652
6.79999999999999 1.20963328736376 63.2881480843559 92.8857040882905 4.01381476444744 0.237283978235102 0.0337260305460353
6.89999999999999 1.27552898553943 63.2501406764271 92.897082231341 4.06642862042961 0.235925569614511 0.03450189229927
6.99999999999999 1.34136196068279 63.21196517513 92.9074508666439 4.11905088870929 0.234502035498415 0.0353040354762309
7.09999999999999 1.40714166110824 63.1736287051681 92.9168168739893 4.17167751662068 0.233016948482762 0.0361571151579505
7.19999999999999 1.47287719037803 63.1351384042591 92.9251871406259 4.22430446010731 0.231473672821425 0.0370870654999901
7.29999999999999 1.5385773071577 63.0965014264403 92.9325685628727 4.2769276859255 0.229875542447705 0.0380965911396153
7.39999999999999 1.60425042539308 63.0577249459746 92.9389680479945 4.32954317424998 0.22822591252937 0.0391884179849234
7.49999999999999 1.6699046147779 63.0188161612787 92.9443925160878 4.38214692129498 0.226528148594912 0.0403652986765168
7.59999999999999 1.73554760150036 62.9797822988529 92.9488489019668 4.43473494193527 0.224785616406886 0.0416300183313612
7.69999999999999 1.80118676925721 62.9406306172093 92.9523441570489 4.48730327232727 0.223001672625204 0.042985400487272
7.79999999999999 1.86682916052325 62.9013684108013 92.9548852512411 4.53984797253009 0.221179656299591 0.0444343131585971
7.89999999999999 1.93248147806398 62.8620030139521 92.9564791748256 4.59236512912661 0.219322881215467 0.045979674913187
7.99999999999999 1.99815008667893 62.822541804784 92.9571329403455 4.64485085784457 0.217434629113946 0.0476244608568878
8.09999999999999 2.06384101516148 62.7829922091638 92.9568535844991 4.69730130618861 0.21551809715278 0.049390683281074
8.19999999999999 2.12955995842244 62.7433617050895 92.9556481702468 4.74971265635853 0.213576256517047 0.0513013677861106
8.29999999999999 2.19531227967412 62.7036578281934 92.9535237894576 4.80208112889374 0.211611995251125 0.0533611383266114
8.39999999999999 2.26110301268397 62.6638881776866 92.9504875657687 4.85440298660397 0.209628164254848 0.0555747388653507
8.49999999999999 2.32693686411852 62.6240604223193 92.9465466574533 4.9066745385109 0.207627576685454 0.0579470443645944
8.59999999999999 2.39281821597234 62.584182306342 92.9417082602882 4.95889214378977 0.205613008194295 0.0604830706584931
8.69999999999999 2.45875112807603 62.5442616554663 92.9359796104216 5.01105221571112 0.203587197987892 0.0631879828399813
8.79999999999999 2.52473934067818 62.5043063828258 92.9293679872409 5.06315122558233 0.201552850701873 0.0660671017297616
8.89999999999999 2.59078627709687 62.4643244949367 92.9218807162401 5.11518570668938 0.199512639075348 0.0691259079617074
8.99999999999999 2.65689504643717 62.4243240976591 92.9135251718877 5.16715225823844 0.197469207413309 0.0723700431143264
9.09999999999999 2.72306844637062 62.3843134021592 92.9043087805014 5.21904754929823 0.195425144264425 0.0758067668645984
9.19999999999999 2.78930896593763 62.3443007309146 92.8942390233015 5.27086832276129 0.193382894216956 0.0794437531876731
9.29999999999998 2.85561878829605 62.3042945238279 92.883323439919 5.32261139935287 0.191344861214947 0.0832875253097761
9.39999999999998 2.92199979344863 62.2643033443834 92.8715696320827 5.3742736816588 0.189313447615779 0.0873447834736974
9.49999999999998 2.98845356098226 62.2243358858052 92.8589852673132 5.42585215815396 0.187291062061562 0.0916223861782627
9.59999999999998 3.05498137282509 62.1844009772149 92.8455780826168 5.47734390723085 0.185280128052738 0.0961273234156302
9.69999999999998 3.12158421602695 62.1445075897902 92.8313558881793 5.52874610122807 0.183283093221353 0.100866680521433
9.79999999999998 3.18826278557005 62.1046648429224 92.81632657106 5.58005601045888 0.181302439302852 0.105847591098954
9.89999999999998 3.25501748721797 62.0648820103752 92.8004980988859 5.63127100723969 0.179340692799702 0.111077177295184
9.99999999999998 3.321848440412 62.0251685264423 92.7838785235453 5.68238856991861 0.177400436333339 0.116562475535396
10.1 3.38875548122302 61.9855339921005 92.766475984893 5.73340628690054 0.175484271648241 0.122303509886464
10.2 3.4557381653058 61.9459881810291 92.7482987147419 5.78432186058377 0.173594685497701 0.128300320874891
10.3 3.52279577074228 61.9065410452907 92.7293550415826 5.83513311107169 0.171734210642256 0.134559624410253
10.4 3.5899273008511 61.8672027208785 92.7096533955895 5.88583797979605 0.169905489135345 0.141087720715744
10.5 3.65713148703424 61.827983533258 92.6892023136384 5.93643453313671 0.168111287097921 0.147890334517894
10.6 3.72440679168149 61.7888940029093 92.6680104443237 5.98692096604149 0.166354510024784 0.154972428440195
10.7 3.79175141115298 61.7499448508692 92.6460865529756 6.03729560564592 0.164638218567922 0.162337987216052
10.8 3.85916327886089 61.7111470042733 92.6234395266774 6.08755691489307 0.162965644726906 0.169989770593308
10.9 3.92664006847331 61.6725116018977 92.600078379283 6.13770349615334 0.16134020834842 0.17792903322956
11 3.99417919726429 61.6340499997016 92.5760122564341 6.18773409484427 0.159765533810305 0.186155210579373
11.1 4.06177782964566 61.5957737763158 92.5512504405635 6.23764760301535 0.15824548631491 0.194586820012348
11.2 4.12943288114195 61.5576947371534 92.5258023555345 6.28744306202306 0.156784210228461 0.203136590934712
11.3 4.19714102321798 61.5198249150193 92.4996775703573 6.33711966289677 0.155386017141666 0.211791774734584
11.4 4.26489868861703 61.4821765693417 92.4728858025411 6.38667674579468 0.154055362491385 0.220536864252657
11.5 4.33270207699284 61.4447621853502 92.4454369214323 6.43611379942502 0.152796849274503 0.229353380088687
11.6 4.40054716084045 61.4075944732535 92.417340951553 6.48543046046707 0.151615230303263 0.238219682617639
11.7 4.46842969174074 61.3706863674184 92.3886080759394 6.53462651299223 0.15051540875459 0.247110821031768
11.8 4.5363452069355 61.3340510255468 92.3592486394795 6.58370188788518 0.149502436770751 0.255998432027437
11.9 4.60428903625009 61.2977018278548 92.3292731522523 6.63265666226486 0.148581511876646 0.264850701695279
12 4.67225630938287 61.2616523762501 92.2986922928654 6.68149105890564 0.147757971004308 0.273632404589041
12.1 4.74024196359968 61.2259164934433 92.2675169117605 6.73020544561292 0.147037298503196 0.282193427129347
12.2 4.80824075230824 61.1905082203042 92.235758033657 6.77880033341758 0.146425092316598 0.29037815966905
12.3 4.87624725526403 61.1554418087672 92.2034268578098 6.82727637177191 0.14592686770464 0.298140312111011
12.4 4.94425588969819 61.1207317129823 92.1705347574049 6.87563434256427 0.145547993689151 0.305433851522259
12.5 5.01226092191031 61.086392580399 92.1370932789225 6.92387515408845 0.145293662522166 0.312213938758642
12.6 5.08025647930031 61.05243924285 92.1031141414998 6.97199983501284 0.145168858864144 0.318437919673757
12.7 5.14823656283145 61.0188867076351 92.0686092362943 7.02000952834982 0.145178329323711 0.324066337437444
12.8 5.2161950599179 60.9857501486046 92.033590625846 7.0679054854249 0.145326553060904 0.329063927472101
12.9 5.28412575772907 60.9530448972436 91.998070543441 7.1156890598461 0.145617714174655 0.333400553509302
13 5.35202235690534 60.9207864337552 91.962061392474 7.16336170147319 0.146055676580207 0.337052042829183
13.1 5.41987848571027 60.8889903780912 91.9255757457538 7.21092495035307 0.146643991579736 0.339897892108482
13.2 5.48768771542664 60.8576724795866 91.8886263433115 7.25838042977476 0.147385877079092 0.341825670508035
13.3 5.55544357830125 60.8268486030542 91.8512260864094 7.30572983708945 0.148283952969546 0.3428360856306
13.4 5.62313958674232 60.7965347134832 91.8133880300519 7.35297493365004 0.14934017600384 0.342940325262617
13.5 5.69076925292242 60.7667468606847 91.7751253754401 7.40011753471683 0.150555834475108 0.342159757387976
13.6 5.75832610871029 60.7375011639372 91.736451462425 7.44715949936328 0.15193155051661 0.340525300071639
13.7 5.82580372588486 60.7088137966316 91.6973797619623 7.49410272038172 0.153467289519314 0.338076500193621
13.8 5.89319573658452 60.6807009709171 91.6579238685655 7.54094911418902 0.15516237589643 0.334860375317842
13.9 5.96049585394216 60.6531789223461 91.6180974927604 7.58770061073235 0.157015514211653 0.330930083428874
14 6.02769789285612 60.6262638945195 91.577914453539 7.63435914339487 0.159024814533766 0.326343490111573
14.1 6.09479579086497 60.5999721237016 91.5373886707835 7.68092663888814 0.16118776577125 0.321114643744518
14.2 6.16178362959124 60.5743198226279 91.4965341569182 7.72740500679919 0.16350105379686 0.31526346673133
14.3 6.22865565750647 60.5493231622666 91.4553650066011 7.77379612826059 0.165960677667735 0.30885983632198
14.4 6.29540631308282 60.5249982527746 91.4138953856426 7.82010184427524 0.168562028909549 0.301973203932134
14.5 6.36203024772112 60.5013611244214 91.3721395198946 7.86632394402783 0.171299926935928 0.294671294239994
14.6 6.42852234834577 60.4784277085141 91.3301116841402 7.91246415319625 0.174168652653431 0.287019005956767
14.7 6.49487775957576 60.4562138183214 91.2878261909827 7.95852412226306 0.177161979487409 0.279077526989455
14.8 6.56109190537613 60.4347351299986 91.2452973797348 8.00450541482695 0.180273201306026 0.270903663844034
14.9 6.62716051009194 60.4140071635117 91.2025396053078 8.05040949591416 0.183495156958799 0.262549374708222
15 6.69307961876151 60.3940452635619 91.1595672271011 8.09623772028996 0.186820251372483 0.254061488028849
15.1 6.75884561664075 60.3748645804946 91.1163945978499 8.14199132077858 0.190240441770685 0.245454878066256
15.2 6.82445524876631 60.3564800508022 91.073036051403 8.18767139680359 0.193747114508983 0.236741086820345
15.3 6.88990564094246 60.3389063765962 91.0295058877813 8.23327890348809 0.197331117786598 0.227954229814328
15.4 6.95519432052636 60.3221580046731 90.9858183571663 8.2788146409753 0.200982795620584 0.2191234781903
15.5 7.02031923593539 60.3062491055649 90.9419876438475 8.32427924375767 0.204691999886707 0.210273245707669
15.6 7.08527877469524 60.2911935525897 90.8980278501689 8.36967317000599 0.208448101802344 0.201423435437445
15.7 7.15007177988257 60.2770049009018 90.8539529804766 8.41499669089849 0.212240003689073 0.192589726612064
15.8 7.21469756481229 60.2636963665423 90.8097769250658 8.46024987994996 0.216056151903202 0.183783884783457
15.9 7.27915592581896 60.2512808054896 90.7655134441277 8.50543260234081 0.219884551849258 0.175014081180156
16 7.34344715297983 60.2397706927096 90.7211761516966 8.55054450424625 0.223712785989532 0.166285209847959
16.1 7.40757203865528 60.2291781012395 90.6767784996031 8.5955850022167 0.227528174335647 0.157641938066471
16.2 7.47153188437733 60.2195146821294 90.6323337615764 8.64055327389381 0.231318217912421 0.149122744612776
16.3 7.5353285071212 60.2107916465644 90.5878550177271 8.68544825211674 0.2350702115458 0.14071979630953
16.4 7.59896424389495 60.2030197488445 90.5433551391794 8.73026862036394 0.238771132249789 0.132423867679579
16.5 7.6624419538829 60.1962092693981 90.49884677271 8.77501280824626 0.242407671762708 0.124224527727488
16.6 7.72576501799842 60.1903699977952 90.4543423253856 8.81967898700018 0.245966275952994 0.116110296580109
16.7 7.7889373357337 60.1855112157609 90.4098539492016 8.86426506498091 0.2494331914295 0.10806877314812
16.8 7.85196331920351 60.1816416801883 90.3653935257202 8.90876868315557 0.252794519548815 0.100086735075711
16.9 7.91484788428984 60.1787696061521 90.3209726507083 8.95318721059633 0.256036277858107 0.0921502122364704
17 7.97759643880772 60.1769026499219 90.2766026187762 8.99751773997358 0.259144468840497 0.0842445349288194
17.1 8.040214867638 60.1760478920614 90.2322944080723 9.04175708312413 0.262105577514148 0.076441661777959
17.2 8.1027095151169 60.1762118227682 90.1880586664474 9.08590176857014 0.264907936251706 0.0688091022333337
17.3 8.16508716545388 60.1774003328992 90.1439057013503 9.12994804399009 0.267540563844582 0.0613256707391876
17.4 8.22735502109155 60.1796187072371 90.0998454711938 9.17389188064054 0.269992812561804 0.0539709909252688
17.5 8.28952067882201 60.1828716178418 90.0558875767759 9.21772897785285 0.272254434337714 0.0467253914788626
