x,y,z,label,radius,curvature,torsion
97.7044,67.4768,30.5174,6,2.49396,0.153108,-0.118674
97.8023,67.7262,31.0332,6,2.51513,0.120051,-0.141854
97.925,68.0088,31.5586,6,2.45929,0.0945565,-0.174276
98.0728,68.317,32.0908,6,2.48994,0.0757515,-0.213487
98.2461,68.643,32.6272,6,2.38535,0.0630909,-0.24969
98.4447,68.9793,33.1653,6,2.41769,0.0560915,-0.264051
98.6682,69.3188,33.7029,6,2.37133,0.0540426,-0.241734
98.9162,69.655,34.2381,6,2.40135,0.055734,-0.193823
99.1878,69.982,34.7689,6,2.36241,0.0598472,-0.142658
99.4821,70.2947,35.2934,6,2.4233,0.0653954,-0.0977342
99.7982,70.5886,35.8098,6,2.32249,0.0717497,-0.0601412
100.135,70.8602,36.316,6,2.41614,0.0785557,-0.0304647
100.491,71.1063,36.81,6,2.33278,0.0856625,-0.00648843
100.867,71.3248,37.2895,6,2.32966,0.0930506,0.0140501
101.26,71.5139,37.752,6,2.33408,0.100755,0.031167
101.669,71.6727,38.1948,6,2.31682,0.108716,0.0445156
102.095,71.8004,38.6153,6,2.31691,0.11681,0.0548008
102.537,71.897,39.0107,6,2.35292,0.124841,0.062174
102.993,71.9627,39.3781,6,2.31825,0.132473,0.0660953
103.463,71.9982,39.7148,6,2.31825,0.13922,0.0667823
103.946,72.0044,40.0187,53,2.35006,0.144498,0.0645582
104.441,71.9827,40.2875,7,2.29567,0.147764,0.0610334
104.947,71.9345,40.5198,7,2.06411,0.14867,0.0565228
105.464,71.8614,40.7145,7,1.85411,0.147018,0.0508504
105.989,71.7652,40.871,7,2.07683,0.142826,0.0449494
106.522,71.6477,40.9894,7,1.77452,0.136457,0.0396646
107.061,71.5109,41.0701,7,1.8214,0.128435,0.0347092
107.604,71.3567,41.1142,7,1.73899,0.119316,0.0298436
108.15,71.1869,41.1231,7,1.74278,0.109621,0.0249075
108.699,71.0034,41.0984,7,1.72879,0.0997888,0.0195659
109.247,70.8078,41.0421,7,1.777,0.0901566,0.0133899
109.794,70.6019,40.9564,7,1.74278,0.0809629,0.0059457
110.339,70.3871,40.8438,7,1.66964,0.0723696,-0.00341788
110.881,70.1646,40.7066,7,1.74278,0.0644866,-0.0155686
111.417,69.9354,40.5473,7,1.74278,0.0573807,-0.0316935
111.949,69.7006,40.3684,7,1.64611,0.0510726,-0.0531916
112.474,69.4605,40.1724,7,1.64162,0.0455871,-0.0812236
112.993,69.2156,39.9614,7,1.62776,0.0409685,-0.115597
113.504,68.966,39.7378,7,1.6943,0.0372442,-0.153016
