s,curvature,torsion
0,0.447767348138723,0.0133589866834304
0.0705647552924068,0.408280663454259,0.0232688592602597
0.140952784939026,0.36743277134686,0.030098965082317
0.211235271402965,0.325873981675278,0.0319551731700141
0.281467378474899,0.284174497602852,0.0255232715990289
0.351689871457821,0.242822150801214,0.00464055945471709
0.421930908185208,0.202228605369945,-0.0430440429073687
0.492207911627742,0.162743931776822,-0.144884293092727
0.562529447704555,0.124685040004715,-0.370636384455162
0.632897045398691,0.088406955854594,-0.939997567973982
0.703306909281409,0.0545868907202452,-2.82222962331021
0.773751487949531,0.0263453948862154,-12.5274817188373
0.844220905863501,0.0242956840233407,-13.7914161590788
0.914704292390103,0.0477117270476651,-3.00295853906258
0.985190930191613,0.0731010076386656,-0.90677794114979
1.0556711689666,0.0968193925007608,-0.235989985137517
1.12613708912834,0.118100764763799,0.0747563254201301
1.19658290725362,0.136586700713258,0.263534445314414
1.26700512212082,0.152031462421978,0.407753703528173
1.33740240856056,0.164249555260855,0.541175503548877
1.40777527631704,0.173115915879603,0.683758180214105
1.47812552574203,0.178692813069015,0.825304219833374
1.54845562898235,0.181525365935225,0.949008604084964
1.61876828822021,0.182239699009261,1.05662238872951
1.68906617987198,0.18139529746251,1.1457624647229
1.75935184169192,0.179449831257339,1.21183656719455
1.82962769186673,0.176724069445561,1.24968896235138
1.89989615446037,0.173372196387913,1.25510274906069
1.97015985415746,0.169363973873332,1.22582565154936
2.04042183791166,0.164483725024373,1.16164207586595
2.11068578183328,0.158347364486939,1.0631570312868
2.18095614198872,0.150520477106361,0.969837931038572
2.25123807251143,0.140889715850157,0.921924996982273
2.32153690391875,0.129538345080363,0.924183394063906
2.39185752341865,0.116653502379929,0.989651565481371
2.46220385572415,0.102514971707373,1.146619434468
2.53257846471351,0.0875089634894727,1.45360250218665
2.60298227859027,0.0721897664070671,2.03178455108432
2.67341443181586,0.0574548700080064,3.12078212895315
2.74387220941455,0.0449852477325385,5.01889898837445
2.81435107331429,0.0379058303014857,6.98802814999103
2.8848447507341,0.0394680823687838,6.32581348564526
2.95534547185707,0.048645263037974,4.00847428507326
3.02584451304596,0.0617081651164678,2.31423304536128
3.09633283878846,0.0761291765490271,1.33067208391418
3.16680170586872,0.0906444148284215,0.737845872625848
3.23724320568683,0.104584355931857,0.342001983985338
3.30765072942103,0.117552598194985,0.0451834522343892
3.37801934631815,0.129307976854594,-0.203882764763456
3.44834609247566,0.139730901576901,-0.434321214490228
3.51863017614111,0.148828658191663,-0.663913727311911
3.58887311213584,0.1567850000262,-0.84509210868253
3.65907872176511,0.163951738039714,-0.935136794126906
3.72925289510001,0.170568406339647,-0.948010827253362
3.79940328827777,0.176659755690326,-0.894989718371683
3.86953902408539,0.182027117520677,-0.786362749526124
3.93967035312504,0.18628142552319,-0.630143397119951
