x,y,z,label,radius,curvature,torsion
61,84,1.5,132,-1,0.118442,0.00715512
61,84,2,4,2.19805,0.12596,0.00798033
61,84,2.5,4,2.28283,0.137375,0.00969985
61,84,3,4,2.27021,0.148433,0.0121431
60.5,84,3.5,4,2.32823,0.158407,0.0154663
60.5,84,4,4,2.25393,0.166487,0.0195702
60.5,83.5,4.5,4,2.25393,0.171897,0.0244809
60.5,83.5,5,4,2.30129,0.174076,0.0303231
61,83.5,5.5,4,2.2402,0.172837,0.0365859
60.5,83,6,4,2.37896,0.16844,0.0426128
60.5,82.5,6.5,4,2.21835,0.161441,0.048431
61,82,7,4,2.24722,0.152545,0.0540403
61,81.5,7.5,4,2.16915,0.142526,0.0590729
61.5,81,8,4,2.17135,0.132037,0.0635121
62,80.5,8.5,4,2.15466,0.121493,0.0675119
62.5,80,9,4,2.17838,0.111151,0.0720737
62.5,79.5,9,4,2.17644,0.101207,0.0776175
63,79,9.5,4,2.19293,0.0917376,0.0844015
63.5,78.5,9.5,4,2.25323,0.0827261,0.0935854
64,78.5,9.5,4,2.2402,0.07414,0.106839
64.5,78,9.5,4,2.24435,0.0659592,0.125754
65,77.5,9.5,4,2.19761,0.0581845,0.15288
65.5,77,10,4,2.22265,0.0508902,0.191985
66,77,10,4,2.20306,0.0442565,0.246324
66.5,76.5,10,4,2.20521,0.038577,0.315795
67,76.5,10.5,4,2.21535,0.0342714,0.390118
67.5,76,10,4,2.39086,0.0318375,0.437766
68,76,10,4,2.20753,0.0315906,0.42323
68.5,75.5,10.5,4,2.18216,0.033357,0.353887
69,75,10.5,4,2.14745,0.0365425,0.269112
69.5,75,11,4,2.18825,0.0405099,0.193745
70,74.5,11,4,2.24042,0.0447722,0.135224
70.5,74.5,11,4,2.10166,0.0490242,0.0944014
71,74,11.5,4,2.11056,0.0531274,0.0664039
71.5,74,11.5,4,2.03887,0.0570641,0.047298
72,73.5,12,4,2.11235,0.06086,0.0348551
72.5,73.5,12,4,2.17568,0.0645348,0.0275082
73,73,12,4,2.05004,0.0681524,0.0240691
73.5,73,12.5,4,2.18538,0.0718159,0.0236853
74,73,12.5,4,2.03696,0.0756344,0.0257676
74.5,72.5,13,4,2.04731,0.0797191,0.0299051
75,72.5,13,4,2.01883,0.084183,0.0359721
75.5,72.5,13.5,4,2.00606,0.0890893,0.04434
75.5,72,14,4,2.01392,0.0944562,0.0549726
76,72,14.5,4,1.84632,0.100298,0.0677006
76.5,71.5,15,4,1.86079,0.106666,0.0797453
77,71.5,15.5,4,1.93828,0.113622,0.0906231
77.5,71.5,16,4,1.95054,0.121137,0.100802
77.5,71.5,16.5,4,1.89859,0.129038,0.109895
78,71.5,17,4,2.03951,0.136877,0.118125
78.5,72,17.5,4,2.09206,0.144016,0.126924
78.5,71.5,18,4,2.1513,0.149736,0.137149
79,72,18.5,4,2.24303,0.15358,0.147501
79,71.5,19,4,2.2149,0.155329,0.158006
79,71.5,19.5,4,2.19615,0.154873,0.169161
79,71.5,20,4,2.23769,0.152359,0.182975
78.5,71,20.5,4,2.27258,0.148304,0.199535
78.5,71,21,4,2.29567,0.143403,0.217963
78.5,71,21.5,4,2.19295,0.138398,0.235437
78,71,22,4,2.41273,0.133828,0.249589
77.5,71,22.5,4,2.40709,0.130041,0.260132
78,70.5,23,4,2.32534,0.127238,0.266522
77.5,70.5,23.5,4,2.64904,0.125518,0.266668
77,70.5,24,4,2.50443,0.124784,0.26203
77.5,70,24.5,4,2.60931,0.124736,0.255454
77,70,25,4,2.52318,0.125051,0.249556
