x,y,z,label,radius,curvature,torsion
108.934,67.2636,30.1202,7,1.17075,0.141051,0.296758
109.281,66.8483,30.2931,7,1.23109,0.148454,0.287403
109.642,66.4373,30.4212,7,1.42306,0.152647,0.299072
110.019,66.0386,30.5065,7,1.41054,0.154759,0.324801
110.415,65.6603,30.5534,7,1.4684,0.156843,0.356152
110.829,65.3104,30.5681,7,1.4684,0.161119,0.382476
111.261,64.996,30.5585,7,1.47391,0.169784,0.389071
111.71,64.7236,30.5336,7,1.45392,0.183946,0.370274
112.173,64.4985,30.5029,7,1.48699,0.202671,0.33342
112.648,64.3247,30.476,7,1.43588,0.223309,0.291888
112.969,64.2386,30.4649,7,1.38663,0.236418,0.264086
113.458,64.1554,30.4648,7,1.51157,0.251945,0.223306
113.95,64.1273,30.4913,7,1.27385,0.258735,0.186693
114.444,64.1533,30.5508,7,1.04444,0.254611,0.160533
114.938,64.2311,30.6483,7,1.05684,0.240357,0.142373
115.428,64.3573,30.7875,7,1.09297,0.218763,0.130316
115.914,64.5278,30.9708,7,1.03255,0.193573,0.121083
116.393,64.7375,31.1995,7,1.01897,0.168288,0.112097
116.866,64.9811,31.4741,7,1.08266,0.145148,0.101349
117.331,65.2534,31.7944,7,1.10266,0.125168,0.089738
117.789,65.5495,32.1598,7,1.10901,0.108481,0.0785399
118.238,65.8649,32.5693,7,1.07287,0.0949209,0.066379
118.68,66.1959,33.0218,7,1.01423,0.0841797,0.0533516
119.114,66.5394,33.5166,7,1.05274,0.0756054,0.0432025
119.541,66.8927,34.0529,141,-1,0.0685338,0.036664
