x,y,z,label,radius,curvature,torsion
78.8569,74.3499,26.4924,4,1.81951,0.089061,0.00705077
78.4114,74.4618,26.9401,4,1.65565,0.0845581,-0.0250167
77.9698,74.5413,27.4001,52,1.73939,0.0799495,-0.0609277
77.5326,74.5895,27.8696,5,1.63677,0.0755298,-0.0999731
77.0999,74.6074,28.3457,5,1.57522,0.0716469,-0.135893
76.671,74.5961,28.8251,5,1.57071,0.0686453,-0.165014
76.2453,74.5566,29.3041,5,1.47454,0.066806,-0.183454
75.8218,74.49,29.7793,5,1.29482,0.066293,-0.192254
75.3992,74.3975,30.2469,5,1.30668,0.0671671,-0.19151
74.9766,74.2802,30.7033,5,1.39783,0.0693694,-0.182246
74.553,74.1396,31.1452,5,1.50965,0.0727447,-0.167246
74.1272,73.977,31.5691,5,1.4989,0.0770969,-0.149212
73.6986,73.794,31.9718,5,1.47878,0.0821681,-0.130145
73.411,73.6614,32.2271,5,1.49172,0.0857954,-0.117617
72.9762,73.4478,32.5882,5,1.33348,0.0913664,-0.100516
72.5372,73.2179,32.921,5,1.33426,0.0967986,-0.0854311
72.0935,72.9732,33.2235,5,1.51836,0.101726,-0.0720042
71.6452,72.7153,33.4939,5,1.5219,0.105752,-0.0601782
71.1921,72.4454,33.731,5,1.48699,0.108477,-0.0498875
70.7342,72.165,33.9342,5,1.49071,0.109533,-0.0407427
70.2715,71.875,34.103,5,1.5068,0.108626,-0.0324968
69.8041,71.5764,34.2379,5,1.38388,0.105648,-0.0251055
69.3322,71.2702,34.3395,5,1.60741,0.10067,-0.0182146
68.8556,70.9571,34.4092,5,1.48847,0.0938912,-0.011514
68.3745,70.6376,34.4488,5,1.60291,0.0856728,-0.00553851
67.889,70.3122,34.4603,5,1.51493,0.0765268,-0.000315147
67.399,69.9812,34.4464,5,1.45503,0.0669549,0.00429823
67.0699,69.7576,34.4243,5,1.50101,0.0605568,0.00734652
66.5726,69.4178,34.3742,5,1.43759,0.0511952,0.0127742
66.071,69.0731,34.3064,5,1.48847,0.0423729,0.019826
65.565,68.7236,34.2237,5,1.50336,0.0343447,0.0294497
65.0546,68.3694,34.1294,5,1.43457,0.0273498,0.0431928
64.54,68.0105,34.0261,5,1.44362,0.0216437,0.0617049
64.021,67.647,33.9165,5,1.52918,0.0175142,0.080866
63.4978,67.279,33.8032,5,1.47831,0.0151415,0.090217
62.9702,66.9064,33.6881,5,1.44052,0.0143644,0.0831017
62.4384,66.5294,33.5733,5,1.3318,0.0147407,0.0656361
61.9024,66.1477,33.4604,5,1.33022,0.0157727,0.0484161
61.3621,65.7615,33.3508,5,1.37698,0.0171108,0.0355005
60.8176,65.3706,33.2459,140,-1,0.0185762,0.0268182
