x,y,z,label,radius,curvature,torsion
110,69.5,34.5,7,1.62063,0.136341,0.066712
110.5,69.5,34.5,7,1.63463,0.136018,0.0558996
111,69,34,7,1.48857,0.132537,0.0481653
111.5,68.5,34.5,7,1.48011,0.126216,0.044137
112,68.5,34,7,1.51019,0.117778,0.0435964
112.5,68,34,7,1.41054,0.108048,0.0465201
113,67.5,34,7,1.41516,0.0977621,0.0523499
113.5,67,34,7,1.44267,0.0874657,0.06139
114,67,33.5,7,1.52566,0.0775942,0.0744114
114.5,66.5,33.5,7,1.43457,0.0714205,0.0854472
115,66,33,7,1.43293,0.0629396,0.105409
115.5,65.5,33,7,1.3029,0.0555562,0.129531
116,65.5,32.5,7,1.40403,0.0494472,0.156473
116.5,65,32.5,7,1.35242,0.0447639,0.182168
117,64.5,32,7,1.3425,0.0415941,0.200589
117.5,64,31.5,7,1.42913,0.0399431,0.205781
118,64,31,7,1.47178,0.0396893,0.197284
118.5,63.5,30.5,7,1.33332,0.0406108,0.179575
119,63.5,30,7,1.32014,0.0424604,0.157414
119.5,63,30,7,1.22437,0.0450113,0.135412
120,63,29.5,7,1.25946,0.0481073,0.117418
120.5,63,29.5,141,-1,0.0516767,0.103654
